, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100
0.1, 1.8294736842105264, 3.077801448657861, 3.034277467075591, 2.7546094758842874, 2.5767810026385223, 2.469624654825623, 2.3903227008959083, 2.3269334938308757, 2.279053272762237, 2.2426747474747475, 
0.2, 2.1866849691146193, 2.262172284644195, 2.062438011763349, 1.9742563589487052, 1.9118204081632653, 1.8758079096045197, 1.8516687370600413, 1.8345886075949367, 1.8224918851435705, 1.815620202020202, 
0.3, 1.98932384341637, 1.8343295424490875, 1.7495862068965518, 1.7206282051282051, 1.7062448979591838, 1.7020169491525423, 1.7011718426501035, 1.7008227848101265, 1.700139825218477, 1.7003535353535353, 
0.4, 1.7327963176064443, 1.6292105263157894, 1.6059080459770114, 1.6025, 1.5999428571428571, 1.6000056497175141, 1.6006335403726708, 1.6008417721518988, 1.6007990012484394, 1.6010848484848486, 
0.5, 1.5515394912985274, 1.5042631578947367, 1.501632183908046, 1.5013846153846153, 1.4996244897959183, 1.4999717514124293, 1.500496894409938, 1.5000221518987342, 1.500047440699126, 1.5003939393939394, 
0.6, 1.4171111111111112, 1.4008421052631579, 1.400344827586207, 1.3996153846153847, 1.3986285714285713, 1.3992372881355932, 1.399623188405797, 1.3990664556962025, 1.3994631710362047, 1.399840404040404, 
0.7, 1.3046666666666666, 1.3032105263157894, 1.300896551724138, 1.3004358974358974, 1.2993142857142856, 1.2994293785310735, 1.2999585921325052, 1.2996487341772152, 1.299972534332085, 1.3003212121212122, 
0.8, 1.209111111111111, 1.2028947368421052, 1.2009195402298851, 1.200051282051282, 1.1991673469387756, 1.1991412429378532, 1.1999544513457556, 1.200357594936709, 1.200227215980025, 1.2002969696969696, 
0.9, 1.1066666666666667, 1.1013684210526316, 1.101287356321839, 1.1007692307692307, 1.1004244897959183, 1.1001073446327683, 1.1001821946169772, 1.1002215189873417, 1.1000149812734081, 1.1000464646464647, 
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 
